sample,hydroyear,year,date_mm_dd_yyyy,month,season,drainage,site,bout,distance,code,catch_number,catch_code,total_length_cm,standard_Length_cm,weight_kg
MAP,2017-2018,14,2/16/2018,FEBRUARY,EARLY DRY,TB,4,3,112,109,1,C,5.9,,0.013
MAP,2022-2023,19,12/10/2022,DECEMBER,WET,TB,3,1,97.6,101,1,C,,7.7,0.011
5+5,2021-2022,18,4/10/2022,APRIL,,RB,8,1,43.9,35,1,C,9.2,7.1,0.0872
MAP,2018-2019,15,2/25/2019,FEBRUARY,EARLY DRY,TB,3,1,90.9,101,1,C,,7,0.008
MAP,2018-2019,15,4/29/2019,APRIL,LATE DRY,RB,13,3,59.2,50,1,C,88,74.5,7.88
MAP,2023-2024,20,5/18/2024,MAY,LATE DRY,RB,9,1,95,50,1,C,94,74.8,7.43
MAP,2010-2011,7,5/12/2011,MAY,LATE DRY,RB,13,3,68,50,1,C,89,74,7.3
MAP,2023-2024,20,5/19/2024,MAY,LATE DRY,RB,14,3,104,50,1,C,87.7,74.5,7.19
MAP,2019-2020,16,5/16/2020,MAY,LATE DRY,RB,10,1,37,50,1,C,88,76,6.76
MAP,2023-2024,20,2/21/2024,FEBRUARY,EARLY DRY,RB,11,3,88.7,50,1,C,86.9,74.2,6.6
MAP,2020-2021,17,5/23/2021,MAY,5+5,RB,14,3,80.5,17,1,C,51.8,,6.53
MAP,2019-2020,16,2/24/2020,FEBRUARY,EARLY DRY,RB,14,3,42,50,1,C,91,76.5,6.41
MAP,2020-2021,17,5/22/2021,MAY,5+5,RB,9,1,86.4,50,1,C,89.7,77.5,6.22
MAP,2023-2024,20,2/21/2024,FEBRUARY,EARLY DRY,RB,11,1,103,17,1,C,56,,5.99
MAP,2010-2011,7,2/25/2011,FEBRUARY,EARLY DRY,TB,1,2,167,50,1,C,,70.5,5.922
OTHER,2021-2022,18,4/15/2022,APRIL,,RB,OTHER,,,50,1,C,84.6,71,5.83
5+5,2009-2010,6,3/10/2010,MARCH,,TB,1,3,113,50,1,C,,76,5.6
MAP,2020-2021,17,5/24/2021,MAY,5+5,TB,4,3,93.6,50,1,C,83.5,30,5.31
MAP,2009-2010,6,5/10/2010,MAY,LATE DRY,RB,14,2,126,50,1,C,,69,5.15
MAP,2023-2024,20,12/10/2023,DECEMBER,WET,TB,4,2,124.8,50,1,C,82.5,71,5
MAP,2023-2024,20,12/10/2023,DECEMBER,WET,RB,16,2,120,50,1,C,82.4,69.5,5
MAP,2023-2024,20,2/22/2024,FEBRUARY,EARLY DRY,TB,4,2,110,50,1,C,84.6,69.8,5
MAP,2011-2012,8,12/8/2011,DECEMBER,WET,TB,3,1,111,50,1,C,85,72,4.998
MAP,2020-2021,17,2/22/2021,FEBRUARY,EARLY DRY,TB,2,1,75.1,50,1,C,83,73,4.98
5+5,2011-2012,8,7/27/2012,JULY,,RB,13,3,140,50,1,C,77.5,69.5,4.97
MAP,2018-2019,15,2/26/2019,FEBRUARY,EARLY DRY,RB,7,3,65.7,51,1,C,86,77,4.97
MAP,2022-2023,19,12/9/2022,DECEMBER,WET,RB,9,1,84.2,50,1,C,83.3,72.8,4.95
MAP,2011-2012,8,12/7/2011,DECEMBER,WET,RB,7,2,98,41,1,C,,5.1,4.92
5+5,2016-2017,13,5/31/2017,MAY,,RB,10,3,56.2,50,1,C,85.5,69.9,4.886
5+5,2021-2022,18,3/12/2022,MARCH,,RB,9,3,106,50,1,C,82.9,70.5,4.81
MAP,2023-2024,20,2/23/2024,FEBRUARY,EARLY DRY,RB,14,2,101,50,1,C,82.4,67.8,4.81
5+5,2009-2010,6,3/10/2010,MARCH,,TB,1,3,113,50,1,C,,76,4.8
MAP,2022-2023,19,5/24/2023,MAY,LATE DRY,TB,4,1,85.3,94,1,C,78.4,65,4.77
MAP,2005-2006,2,4/26/2006,APRIL,LATE DRY,RB,9,2,113,50,1,C,,67,4.7
5+5,2012-2013,10,12/2/2013,EARLY DECEMBER,,TB,2,1,90,94,1,C,75.5,62,4.68
5+5,2016-2017,13,6/1/2017,MAY,,RB,11,1,109,50,1,C,82.2,69.1,4.625
MAP,2013-2014,10,2/23/2014,FEBRUARY,EARLY DRY,RB,10,1,97,50,1,C,78,66,4.59
MAP,2022-2023,19,5/23/2023,MAY,LATE DRY,RB,13,1,103,50,1,C,84.4,70.2,4.54
5+5,2017-2018,14,4/28/2018,APRIL,,RB,13,3,102,50,1,C,78,68,4.529
