Site Name,East,North,Zone,Latitude,Longitude
RB7B1,509747,2812511,17 R,25.429504,-80.903069
RB7B2,509919,2812537,17 R,25.429737,-80.901358
RB7B3,510140,2812494,17 R,25.429348,-80.899161
RB8B1,512034,2815215,17 R,25.453905,-80.880301
RB8B2,512188,2815355,17 R,25.455169,-80.878768
RB8B3,512344,2815507,17 R,25.45654,-80.877215
RB9B1,513426,2816020,17 R,25.461163,-80.866448
RB9B2,513612,2815952,17 R,25.460547,-80.864598
RB9B3,513765,2815878,17 R,25.459878,-80.863077
RB10B1,513151,2815994,17 R,25.460931,-80.869183
RB10B2,513297,2816160,17 R,25.462429,-80.867729
RB10B3,513468,2816229,17 R,25.46305,-80.866028
RB11B1,512560,2815957,17 R,25.460602,-80.875063
RB11B2,512502,2816118,17 R,25.462056,-80.875638
RB11B3,512456,2816257,17 R,25.463312,-80.876094
RB12B1,507935,2815310,17 R,25.454791,-80.921072
RB12B2,508080,2815486,17 R,25.45638,-80.919629
RB12B3,508268,2815614,17 R,25.457534,-80.917758
RB13B1,510415,2814328,17 R,25.445908,-80.896412
RB13B2,510622,2814374,17 R,25.446322,-80.894353
RB13B3,510791,2814526,17 R,25.447693,-80.892671
RB14B1,507110,2811955,17 R,25.424498,-80.929296
RB14B2,507250,2812115,17 R,25.425942,-80.927903
RB14B3,507431,2812208,17 R,25.426781,-80.926103
RB15B1,504543,2811127,17 R,25.41703,-80.954826
RB15B2,504734,2811183,17 R,25.417536,-80.952926
RB15B3,504926,2811235,17 R,25.418004,-80.951017
RB16B1,505337,2814797,17 R,25.45017,-80.946916
RB16B2,505422,2814941,17 R,25.45147,-80.94607
RB16B3,505606,2815075,17 R,25.452679,-80.944239
RB18B1,509073,2813244,17 R,25.436127,-80.909767
RB18B2,509209,2813396,17 R,25.437499,-80.908413
RB18B3,509303,2813530,17 R,25.438709,-80.907477
TB1B1,503388,2810486,17 R,25.411245,-80.966312
TB1B2,503580,2810505,17 R,25.411416,-80.964403
TB1B3,503747,2810479,17 R,25.411181,-80.962743
TB2B1,502858,2810766,17 R,25.413883,-80.969593
TB2B2,502636,2810780,17 R,25.413775,-80.971582
TB2B3,502581,2810925,17 R,25.415211,-80.974336
TB3B1,502348,2812377,17 R,25.428324,-80.97665
TB3B2,502863,2812493,17 R,25.42937,-80.971528
TB3B3,503084,2812553,17 R,25.429912,-80.96933
TB4B1,503425,2812874,17 R,25.43281,-80.965938
TB4B2,503708,2813004,17 R,25.433983,-80.963124
TB4B3,503884,2813099,17 R,25.434841,-80.961373
