code,species_names,common_name
1,Gambusia_holbrooki,Mosquitofish
2,Poecilia_latipinna,Sailfin_molly
3,Cyprinodon_variegatus,Sheepshead_minnow
4,Fundulus_confluentus,Marsh_killifish
5,Jordanella_floridae,Flagfish
6,Heterandria_formosa,Least_killifish
7,Lucania_goodei,Bluefin_killifish
8,Fundulus_chrysotus,Golden_topminnow
9,Notemigonus_crysoleucas,Golden_shiner
10,Labidesthes_sicculus,Brook_silverside
11,Ameiurus_natalis,Yellow_bullhead
12,Menidia_beryllina,Inland_silverside
13,No_fishes_collected,No_fishes_collected
14,Esox_niger,Chain_pickerel
15,Adinia_xenica,Diamond_killifish
16,Achirus_lineatus,Lined_sole
17,Lepisosteus_platyrhincus,Florida_gar
18,Esox_americanus,Grass_pickerel
19,Lepomis_sp,Sunfishes
20,Micropterus_salmoides,Largemouth_bass
21,Procambarus_alleni,Everglades_Crayfish
22,Palaemonetes_paludosus,Riverine_grass_shrimp
23,Unidentified_fishes,Unidentified_fishes
24,Aphrododerus_sayanus,Pirate_perch
25,Procambarus_fallax,Slough_crayfish
30,Notropis_petersoni,Coastal_shiner
32,Notropis_maculatus,Taillight_shiner
33,Erimyzon_sucetta,Lake_chubsucker
34,Fundulus_seminolis,Seminole_killifish
35,Eucinostomus_gula,Silver_jenny
36,Trinectes_maculatus,Hogchoker
37,Noturus_gyrinus,Tadpole_madtom
38,Lepomis_gulosus,Warmouth
39,Lepomis_macrochirus,Bluegill
40,Lepomis_microlophus,Redear
41,Lepomis_punctatus,Spotted_sunfish
42,Lepomis_marginatus,Dollar_sunfish
46,Elassoma_evergladei,Everglades_pygmy_sunfish
47,Enneacanthus_gloriosus,Bluespotted_sunfish
48,Ameiurus_nebulosus,Brown_bullhead
49,Pomoxis_nigromaculatus,Black_crappie
50,Centropomus_undecimalis,Snook
51,Megalops_atlanticus,Tarpon
52,Cichlasoma_bimaculatum,Black_acara
53,Ictalurus_punctatus,Channel_catfish
54,Anguilla_rostrata,American_eel
55,Amia_calva,Bowfin
56,Etheostoma_fusiforme,Swamp_darter
57,Anchoa_mitchilli,Bay_anchovy
58,Lucania_parva,Rainwater_killifish
59,Floridichthys_carpio,Goldspotted_killifish
60,Clarias_batrachus,Walking_catfish
61,Fundulus_similis,Longnose_killifish
62,Leptolucania_ommata_,Pygmy_killifish
63,Fundulus_lineolatus,Lined_topminnow
64,Fundulus_rubifrons,Banded_Topminnow
65,Dorosoma_cepedianum,Gizzard_shad
66,Dorosoma_petenense,Threadfin_shad
67,Microgobius_gulosus,Clown_goby
68,Mugil_sp,Mullets
69,Ariopsis_felis,Hardhead_catfish
70,Strongylura_timucu,Timucu
71,Lophogobius_cyprinoides,Crested_goby
72,Gobiosoma_bosc,Naked_goby
73,Dasyatis_sabina,Atlantic_stingray
74,Lutjanus_griseus,Gray_snapper
75,Fundulus_grandis,Gulf_killifish
76,Bagre_marinus,Gafftopsail_catfish
77,Tilapia_mariae,Spotted_tilapia
78,Oreochromis_aureus,Blue_tilapia
79,Oreochromis_mossambicus,Mozambique_tilapia
80,Strongylura_sp,Needlefishes
81,Lagodon_rhomboides,Pinfish
82,Opsanus_beta,Gulf_toadfish
83,Strongylura_notata,Atlantic_needlefish
84,Cichlasoma_urophthalmus,Mayan_cichlid
85,Astronotus_ocellatus,Oscar
86,Belonesox_belizanus,Pike_killifish
87,Cichlasoma_managuense,Jaguar_Guapote_Cichlid
88,Hemichromis_letourneuxi,Jewel_Cichlid
89,Monopterus_albus,Asian_Swamp_Eel
90,Hoplosternum_littorale,Brown_Hoplo
91,Carcharhinus_leucas,Bull_shark
92,Archosargus_probatocephalus,Sheepshead
93,Cichla_ocellaris,Peacock_bass
94,Sciaenops_ocellatus,Redfish
95,Cichlasoma_salvini,Yellowbelly_cichlid
96,Heros_severus,Banded_cichlid
97,Cichlasoma_citrinellum,Midas_cichlid
98,Channa_marulius,Snakehead
99,Pterygoplichthys_multiradiatus,Orinoco_sailfin_catfish
100,Macrognathus_siamensis,Peacock_eel
101,Eugerres_plumieri,Striped_mojarra
102,Kleptolebias_marmoratus,mangrove_rivulus
103,Eucinostomus_harengulus,Tidewater_mojarra
104,Cynoscion_nebulosus,Spotted_seatrout
105,Caranx_hippos,Jack_Crevalle
106,Gobiosoma_robustrum,Code_goby
107,Mugil_cephalus,Striped_mullet
108,Menidia_peninsulae,Tidewater_silverside
109,Callinectes_sapidus,Blue_crab
110,Unidentified_cichlid_species,Unidentified_cichlid_species
111,Palaemonetes_intermedius,Brackish_grass_shrimp
112,Rhithropanopeus_harrisii,Estuarine_mud_crab
113,Palaemonetes_pugio,Daggerblade_grass_shrimp
114,Palaemonetes_vulgaris,Marsh_grass_shrimp
115,Eucunostomus_sp,Unidentified_mojarra_species
116,Menidia_sp,Unidentified_silverside_species
117,Elops_saurus,Ladyfish
118,Oligoplites_saurus,Leatherjacket
119,Palaemonetes_sp,Unidentified_shrimp_species
120,Palaemon_floridanus,Florida_grass_shrimp
121,Gobiosoma_sp,Unidentified_goby
122,Procambarus_sp,Unidentified_crayfish
200,Unidentified_eel_species,Unidentified_eel_species
201,Ctenopharyngodon_idella,Grass_carp
202,Unidentified_bullhead_catfish,Unidentified_bullhead_catfish
203,Unidentified_catfish,Unidentified_catfish
204,Lepisosteus_osseus,Longnose_gar
205,Esox_americanus,Redfin_pickerel
206,siren,siren
207,Sphyraena_barracuda,Barracuda
208,Notropis_sp,Unidentified_shiner_species
209,Echeneis_naucrates,Sharksucker
196,Farfantepenaeus_duorarum,Pink_Shrimp
210,Dormitator_maculatus,Fat_Sleeper
211,Fundulus_sp,Unidentified_killifish_topminnow
212,Unidentified_cyprinid,Unidentified_cyprinid
213,Pristis_pristis,Largetooth_Sawfish
